rindex,observation,fault_code (ground truth),rationale,failure_mode (ground truth text)
191,heater does not turn on when control switch is set to ON,e113. M1079 HEATER DOES NOT OPERATE.,"If the heater does not operate at all when the operator tries to switch it on, this directly matches the fault code and aligns with the troubleshooting steps involving checking the power supply and circuit breaker.",m1079 heater does not operate.
192,winch does not respond when control switch is activated,11K SELF-RECOVERY WINCH (SRW) DOES NOT OPERATE.,"If the operator attempts to use the self-recovery winch and nothing happens when the control is activated, this could indicate low hydraulic fluid or an issue with hydraulic leaks as outlined in the troubleshooting steps.",11k self-recovery winch (srw) does not operate.
193,transmission selector beeps loudly for several seconds and truck will not shift gears,f1. WTEC II TRANSMISSION ECU PUSHBUTTON SHIFT SELECTOR (TEPSS) EMITS EIGHT SECONDS OF BEEPS AND/OR TRANSMISSION DOES NOT SHIFT GEARS.,The repeated beeping for eight seconds combined with the inability to shift gears indicates a fault recognized by the transmission logic or ECU that prevents normal gear selection or shifting.,wtec ii transmission ecu pushbutton shift selector (tepss) emits eight seconds of beeps and/or transmission does not shift gears.
194,one or more emergency lights did not turn on when switched on,e110. ONE OR MORE M1079 EMERGENCY LIGHTS DO NOT ILLUMINATE.,"The operator would observe that some emergency lights fail to illuminate when activated, which aligns directly with the fault code description and the troubleshooting step to check the circuit breakers and associated electrical system.",one or more m1079 emergency lights do not illuminate.
195,right side front marker light and/or right door light not turning on when vehicle lights are activated,e42. RH DOOR AND/OR RH FRONT MARKER LIGHTS DO NOT ILLUMINATE.,"If the right-hand (RH) door or front marker lights do not illuminate when the vehicle lights are switched on, this matches the described fault where only those specific lights fail to work.",rh door and/or rh front marker lights do not illuminate.
196,loud clunking or whining noise coming from under the vehicle while driving,n1. AXLE DIFFERENTIAL(S) NOISY.,"A clunking or whining noise from beneath the vehicle, especially near the axles, is a common operator observation pointing to issues in the differential, such as worn gears or bearings.",axle differential(s) noisy.
197,left turn signal indicator light stays off when using the left turn signal,e25. LEFT TURN SIGNAL INDICATOR DOES NOT ILLUMINATE.,"If the left turn signal indicator does not light up when the left turn signal is activated, it directly matches the described fault code and would prompt troubleshooting of the indicator circuit or bulb.",left turn signal indicator does not illuminate.
198,PTO indicator light does not turn on when PTO is engaged,e30. POWER TAKE-OFF (PTO) INDICATOR DOES NOT ILLUMINATE.,"If the PTO indicator light fails to illuminate when the PTO is engaged, this directly matches the described fault code and could be due to electrical issues such as a tripped circuit breaker or wiring fault.",power take-off (pto) indicator does not illuminate.
199,hazard lights do not turn on when the switch is activated,e53. FRONT AND REAR HAZARD LIGHTS DO NOT ILLUMINATE.,"If the operator activates the hazard lights switch and observes that neither the front nor rear hazard lights illuminate, this directly matches the fault code and is likely what prompts troubleshooting.",front and rear hazard lights do not illuminate.
200,"engine cooling fan stays on at all times, even when engine is cold",e88. ENGINE FAN RUNS CONSTANTLY.,"If the engine fan is operating continuously regardless of engine temperature, it matches the fault code and suggests there may be an electrical or sensor issue keeping the fan engaged.",engine fan runs constantly.
201,milky or oily residue visible in coolant reservoir,d2. OIL IN COOLING SYSTEM.,"The presence of a milky or oily residue in the coolant reservoir is a classic sign of oil mixing with the cooling system, which would lead an operator to suspect a problem corresponding to this fault code.",oil in cooling system.
202,white smoke coming from the exhaust while engine is running,a11. WHITE EXHAUST SMOKE.,"Noticing white smoke from the exhaust is a direct symptom tying to this fault code, as it points to potential issues such as a restricted air filter or combustion anomalies. This is a simple, visible symptom that operators can easily observe during vehicle operation.",white exhaust smoke.
203,brake pedal pressed but truck does not slow down,i6. FRONT BRAKES DO NOT APPLY.,"If the operator presses the brake pedal but does not feel the brakes engage and the vehicle does not slow down, this directly indicates that the front brakes are not applying, consistent with the fault code.",front brakes do not apply.
204,one or both of the fluorescent interior lights inside the M1079 do not turn on when the switch is flipped,e101. M1079 FLUORESCENT LIGHT(S) DS82 AND/OR DS83 DO NOT ILLUMINATE.,"If the operator notices that one or both designated fluorescent lights (DS82 and DS83) fail to illuminate when switched on, this directly matches the description given by the fault code and would be a common way for the issue to be identified.",m1079 fluorescent light(s) ds82 and/or ds83 do not illuminate.
205,Engine fan keeps running even after pressing the radiator fan off switch.,e89. ENGINE FAN DOES NOT TURN OFF USING RADIATOR FAN OFF SWITCH.,"If the radiator fan off switch does not stop the engine fan, an operator would notice the fan continues operating regardless of the switch position, indicating a malfunction in the fan control circuit or switch.",engine fan does not turn off using radiator fan off switch.
206,pressing brake pedal does not slow down or stop the truck,i6. FRONT BRAKES DO NOT APPLY.,"If the operator notices that pressing the brake pedal has no effect and the truck does not slow down, this directly indicates that the front brakes are not engaging. This matches the fault code provided.",front brakes do not apply.
207,air conditioner does not turn on when powered,e112. M1079 AIR CONDITIONER DOES NOT OPERATE.,"If the air conditioner does not operate when the operator attempts to turn it on, it aligns directly with the described fault code and the initial troubleshooting steps to check the circuit breaker.",m1079 air conditioner does not operate.
208,Mobile Tracking System will not turn on when trying to use it,u7. NO POWER TO MOBILE TRACKING SYSTEM (MTS),"If the Mobile Tracking System does not power on, it directly reflects the fault of no power being supplied to the unit, likely due to a tripped circuit breaker or an electrical issue, as described in the troubleshooting steps.",no power to mobile tracking system (mts)
209,large amount of water drains out when releasing air from the reservoirs,j2. LARGE QUANTITY OF MOISTURE EXPELLED FROM AIR RESERVOIRS.,"If, during routine draining, the operator notices a significant amount of water coming out from the air reservoirs, it suggests that moisture is accumulating in the air system, triggering this fault code.",large quantity of moisture expelled from air reservoirs.
210,observation not available due to deleted troubleshooting procedures,e4. Deleted.,"The troubleshooting procedures were deleted, so an operator observation cannot be accurately generated for this fault code.",deleted.
211,vehicle pulls to one side while driving and tires show uneven wear despite recent alignment,w1. TIRES CONTINUE TO WEAR AFTER FRONT END ALIGNMENT AND/OR VEHICLE DRIVES SIDEWAYS DOWN ROAD.,"If the vehicle continues to pull sideways or tires exhibit abnormal wear after an alignment, it indicates that the underlying problem was not corrected by alignment and further inspection is needed.",tires continue to wear after front end alignment and/or vehicle drives sideways down road.
212,high beam indicator light on the dashboard does not turn on when high beams are activated,e28. HIGH BEAMS ON INDICATOR DOES NOT ILLUMINATE.,"If the high beam indicator on the dashboard fails to illuminate despite the high beams being switched on, this directly matches the fault code as specified in the operator manual and troubleshooting procedure.",high beams on indicator does not illuminate.
213,constant hissing or releasing of air from the air dryer while the engine is running,j3. AIR DRYER PURGES CONTINUALLY.,A continuous purging sound from the air dryer is a clear sign that the air dryer is not cycling correctly and may indicate a malfunction as specified by this fault code.,air dryer purges continually.
214,Field phone binding post is unresponsive and does not allow communication when connected.,e111. M0179 FIELD PHONE 1 AND/2 BINDING POST DOES NOT OPERATE.,"If the binding post for field phone 1 or 2 does not operate, the operator would observe that connecting a field phone does not enable any sound or communication, indicating a malfunction at the connection point.",m0179 field phone 1 and/2 binding post does not operate.
215,ether start system does not engage when trying to start engine in cold weather,e90. ETHER START DOES NOT OPERATE.,"If the ether start does not operate, the operator would notice that the engine is difficult to start or will not start during cold conditions despite activating the ether start system, indicating a possible electrical or component malfunction.",ether start does not operate.
216,air pressure gauge drops rapidly when the brakes are pressed,i9. BRAKE SYSTEM LOSES AIR WHEN SERVICE BRAKES ARE APPLIED.,"A rapid drop in the air pressure gauge during brake application can indicate an air leak in the brake system, which matches the described fault code.",brake system loses air when service brakes are applied.
217,FBCB2 display will not turn on when truck is powered up,u6. NO POWER TO SINGGAR/FORCE XXI BATTLE COMMAND BRIGADE AND BELOW (FBCB),"If the SINGGAR/FBCB system does not have power as indicated in the troubleshooting procedure, an operator would likely report that the FBCB2 display will not turn on when the vehicle power is on. This matches the fault's indication of loss of power to the system.",no power to singgar/force xxi battle command brigade and below (fbcb)
218,vehicle drifts or pulls to the left or right when driving straight,"q1. WANDERS, PULLS TO ONE SIDE, OR SHIMMIES.","An operator noticing the vehicle drifting or pulling to one side is a primary symptom described by this fault code, as it directly relates to steering or brake system problems.","wanders, pulls to one side, or shimmies."
219,windshield wipers work on low speed but do not move faster when switched to high speed,e75. WINDSHIELD WIPER DOES NOT OPERATE ON HIGH SPEED.,"The operator may attempt to increase the wiper speed and notice that the wipers do not speed up as expected, indicating a problem with the high-speed function specifically.",windshield wiper does not operate on high speed.
220,the truck does not slow down when pressing the brake pedal,i2. REAR BRAKES DO NOT APPLY.,"If the operator steps on the brake pedal and notices that the rear brakes are not engaging, it could indicate lack of air pressure or a malfunction in the rear brake system as described in the troubleshooting procedure.",rear brakes do not apply.
221,windshield wipers do not work on intermittent setting but work on low and high speeds,e74. WINDSHIELD WIPER SPEED DOES NOT OPERATE ON INTERMITTENT SPEED.,"The observation directly matches the fault code where the operator notices that the wipers only fail to operate on the intermittent setting, but function normally on the other speeds, suggesting a circuit or switch issue.",windshield wiper speed does not operate on intermittent speed.
222,no power output at 24 VDC binding post when equipment is connected,e114. M1079 24 VDC BINDING POST(S) DOES NOT OPERATE.,"An operator would notice that devices plugged into the 24 VDC binding post do not receive power, indicating a lack of voltage or a potential electrical issue such as a tripped breaker or blown fuse.",m1079 24 vdc binding post(s) does not operate.
223,Heater fails to turn on when switched to the ON position,e113. M1079 HEATER DOES NOT OPERATE.,"The operator attempts to use the heater, but there is no response or heat generated. This observation aligns with the fault code and would be the likely reason to troubleshoot the heater circuit and power supply.",m1079 heater does not operate.
224,loud grinding or whining noise coming from underneath the truck near the axles while driving,n1. AXLE DIFFERENTIAL(S) NOISY.,"A noisy axle differential is often experienced by the operator as a grinding or whining sound from near the axles, particularly while the vehicle is moving. This observation directly relates to differential issues and signals a potential internal mechanical problem.",axle differential(s) noisy.
225,loud knocking or rattling sound coming from the area near the air compressor when the engine is running,j6. NOISY AIR COMPRESSOR OPERATION.,"Unusual or excessive noise from the area of the air compressor can indicate internal compressor problems or issues such as loose mounting, worn components, or a failing compressor unit.",noisy air compressor operation.
226,110 VAC outlet J230 is not providing power when equipment is plugged in,e108. M1079 110 VAC OUTLET J230 DOES NOT OPERATE.,"The operator reports that the outlet does not supply power, indicating a possible tripped circuit breaker, outlet fault, or internal electrical issue, as suggested by the troubleshooting steps.",m1079 110 vac outlet j230 does not operate.
227,white smoke coming from the exhaust pipe while engine is running,a11. WHITE EXHAUST SMOKE.,"The presence of white smoke from the exhaust is directly linked to this fault code and could indicate a restricted air filter, coolant entering the combustion chamber, or incomplete fuel combustion.",white exhaust smoke.
228,loud grinding or rattling sound coming from under the vehicle during shifting,f2. TRANSMISSION UNUSUALLY NOISY WHEN OPERATING.,"Unusual grinding or rattling noises when shifting or operating the vehicle often point toward transmission issues, such as incorrect fluid level or contamination, as outlined in the troubleshooting steps.",transmission unusually noisy when operating.
229,loud or unusual noises coming from the area near the air compressor during engine operation,j6. NOISY AIR COMPRESSOR OPERATION.,"Operators might notice excessive noise, rattling, or knocking sounds from the air compressor, indicating a possible internal fault or component wear that would warrant maintenance action.",noisy air compressor operation.
230,Van door is open but warning light and alarm do not activate,e115. M1079 VAN DOOR OPEN LIGHT DOES NOT ILLUMINATE AND AUDIBLE ALARM,"If the van door is open but the operator does not see the warning light or hear the alarm, this directly matches the fault code and indicates a possible electrical or indicator failure.",m1079 van door open light does not illuminate and audible alarm
231,loud grinding or clunking sound coming from under the truck while driving,f2. TRANSMISSION UNUSUALLY NOISY WHEN OPERATING.,"A loud grinding or clunking noise from under the vehicle suggests abnormal transmission function, consistent with problems like low fluid level or contaminated fluid as listed in the troubleshooting procedures.",transmission unusually noisy when operating.
232,loud or unusual noise coming from the air compressor during vehicle operation,j6. NOISY AIR COMPRESSOR OPERATION.,"Operators may notice excessive or strange noises from the area where the air compressor is located, indicating a potential malfunction that matches the troubleshooting procedure for this fault code.",noisy air compressor operation.
233,Oil pressure gauge backlight does not turn on when dashboard lights are activated,e17f. OIL PRESS GAGE DOES NOT ILLUMINATE.,"If the oil pressure gauge does not illuminate when the panel lights are switched on, it could indicate a faulty bulb, gauge, or circuit issue, supporting this fault code.",oil press gage does not illuminate.
234,trailer blackout stoplights do not turn on when blackout mode is activated,e63. TRAILER BLACKOUT STOPLIGHTS DO NOT ILLUMINATE.,"If the operator notices that the trailer blackout stoplights fail to illuminate when switching to blackout mode, it aligns directly with this fault code. This suggests an issue with the stoplight bulbs, wiring, or connections related to the blackout function.",trailer blackout stoplights do not illuminate.
235,The power outlet labeled J230 is not providing electricity when I plug in equipment.,e108. M1079 110 VAC OUTLET J230 DOES NOT OPERATE.,"If the 110 VAC outlet J230 does not operate when equipment is connected, it indicates there may be a tripped circuit breaker or another fault in the electrical distribution system as covered by the troubleshooting steps.",m1079 110 vac outlet j230 does not operate.
236,engine temperature gauge is reading in the red zone after driving for a short period,d1. ENGINE OVERHEATS.,"A high reading on the engine temperature gauge shortly after starting or during normal operation points to overheating, which can be caused by low coolant, leaks, blocked radiator, or faulty radiator cap.",engine overheats.
237,Front brake air pressure gauge does not light up when dashboard lights are turned on,e17b. FRONT BRAKE AIR GAGE DOES NOT ILLUMINATE.,"If the operator notices the front brake air gauge remains dark while other instrument panel lights are illuminated, this directly corresponds to the fault code for the gauge not illuminating and prompts electrical troubleshooting.",front brake air gage does not illuminate.
238,chemical alarm does not sound or show any lights when tested,e77. CHEMICAL ALARM DOES NOT OPERATE.,"If the chemical alarm fails to activate in any form during a test or actual exposure, this clearly indicates a malfunction, which aligns with the fault code and would prompt the operator to report it.",chemical alarm does not operate.
239,outlet J234 does not supply power when equipment is plugged in,e103. M1079 110 VAC OUTLET J234 DOES NOT OPERATE.,"If an operator tries to use outlet J234 and finds that it does not provide power to plugged-in devices, this directly corresponds to the fault code indicating the outlet is not operating.",m1079 110 vac outlet j234 does not operate.
240,Steering wheel is very difficult to turn while driving,p1. HARD TO STEER.,"Difficulty turning the steering wheel is a primary symptom of hard to steer conditions, which can be caused by low tire pressures or incorrect steering fluid levels as detailed in the troubleshooting steps.",hard to steer.
241,None of the fluorescent lights turn on inside the truck,e99. ALL M1079 FLUORESCENT LIGHTS DO NOT ILLUMINATE.,"If all the fluorescent lights inside the M1079 do not turn on, it suggests a power supply issue such as a tripped circuit breaker or a complete electrical failure in the lighting circuit, which is addressed in the troubleshooting procedures.",all m1079 fluorescent lights do not illuminate.
242,Truck takes longer than usual to stop after pressing the brake pedal,i1. EXCESSIVE BRAKING DISTANCE.,"This observation would alert the operator to a potential braking system malfunction, as excessive stopping distance is indicative of possible air pressure issues or other brake system faults described in the troubleshooting procedures.",excessive braking distance.
243,tachometer needle does not move or displays incorrect engine speed,e13. TACHOMETER DOES NOT OPERATE OR IS INACCURATE.,"If the tachometer needle fails to move or shows numbers that do not match engine sound or expected RPM, it suggests that the gauge is either non-functional or inaccurate, matching the fault code.",tachometer does not operate or is inaccurate.
244,loud rattling or banging noise coming from underneath the truck while the engine is running,c1. EXHAUST SYSTEM UNUSUALLY NOISY OR VIBRATES EXCESSIVELY DURING ENGINE,"A loud rattling or banging noise from the underside of the truck during engine operation suggests excessive vibration or noise from the exhaust system, which aligns with this fault code.",exhaust system unusually noisy or vibrates excessively during engine
245,fan does not turn on when power is applied,e96. M1079 FAN DOES NOT OPERATE.,"If the fan does not operate when it should, this would prompt the operator to check power or circuit issues as described in the troubleshooting steps.",m1079 fan does not operate.
246,engine RPM fluctuates up and down while idling or driving,a12. ENGINE SPEED IS NOT STABLE.,"Fluctuating engine RPM can be observed by the operator as the engine surges or dips unexpectedly during idle or operation, which may be caused by issues like a restricted air filter, fuel leaks, or inconsistent fuel supply as indicated in the troubleshooting steps.",engine speed is not stable.
247,horn does not make any sound when pressing the horn button,e76. HORN DOES NOT OPERATE.,"If the horn does not produce any sound when the operator presses the horn button, it directly points to an issue in the horn circuit, such as a tripped circuit breaker or electrical fault.",horn does not operate.
248,one or both high beam headlights do not turn on when the high beam switch is activated,e39. ONE OR BOTH HEADLIGHT HIGH BEAMS DO NOT ILLUMINATE.,"The fault code specifically concerns the high beam headlights not illuminating, so an operator would observe that the high beams do not come on while the low beams or other lights may still function correctly.",one or both headlight high beams do not illuminate.
249,front brake air pressure gauge does not light up when dashboard lights are on,e17b. FRONT BRAKE AIR GAGE DOES NOT ILLUMINATE.,"If the operator notices the front brake air pressure gauge does not illuminate when vehicle panel lights are turned on, this indicates a possible problem with the gauge bulb, wiring, or power supply, as covered by the troubleshooting procedure.",front brake air gage does not illuminate.
250,110 VAC outlet J233 does not provide power when trying to use electrical equipment,e102. M1079 110 VAC OUTLET J233 DOES NOT OPERATE.,"If the operator plugs an electrical device into outlet J233 and it fails to power on, this directly indicates the outlet may not be operating, which is the malfunction addressed by this fault code.",m1079 110 vac outlet j233 does not operate.
251,"When trying to start the truck, nothing happens and the engine does not turn over.",e1. ENGINE DOES NOT CRANK.,"If the engine does not crank when the starter is engaged, it indicates possible electrical or ignition system faults, as detailed in the troubleshooting steps. The operator will observe no sound or movement from the engine during attempted start.",engine does not crank.
252,engine starts but shakes and has poor acceleration,"a13. ENGINE STARTS BUT MISFIRES, RUNS ROUGH, OR LACKS POWER.","Difficulty with smooth engine operation, such as shaking or poor acceleration, can be caused by misfires, restricted air intake, or fuel supply issues as indicated in the troubleshooting steps.","engine starts but misfires, runs rough, or lacks power."
253,radiator fan off switch does not light up when turned on,e16. RADIATOR FAN OFF SWITCH DOES NOT ILLUMINATE.,"If the radiator fan off switch fails to illuminate when activated, this directly matches the fault code and may indicate an issue with the switch, the bulb, or the related electrical circuit.",radiator fan off switch does not illuminate.
254,auxiliary switch light does not turn on when the switch is activated,e20. AUXILIARY PANEL SWITCH DOES NOT ILLUMINATE.,"If the operator notices that the auxiliary panel switch fails to illuminate when pressed or flipped, this matches the fault code and would prompt the troubleshooting steps described.",auxiliary panel switch does not illuminate.
255,radiator fan off indicator light does not turn on when switch is pressed,e16. RADIATOR FAN OFF SWITCH DOES NOT ILLUMINATE.,"If the radiator fan off switch is pressed and its indicator light does not illuminate, it suggests a possible fault in the switch circuit, indicator bulb, or related wiring. The troubleshooting step specifically checks the illumination of the indicator light as a sign of system function.",radiator fan off switch does not illuminate.
256,blue-colored smoke coming from the exhaust while the engine is running,a14. BLUE EXHAUST SMOKE.,"Blue exhaust smoke is typically observed when engine oil is being burned during combustion, which may happen if the oil level is too high or there is internal engine wear.",blue exhaust smoke.
257,the warning light does not turn on when the vehicle is started,e49. WARNING LIGHT DOES NOT ILLUMINATE.,"The operator would notice that the warning light, which normally illuminates when the vehicle is started or during specific checks, fails to come on, indicating a possible electrical or bulb issue.",warning light does not illuminate.
258,The EPLRS device will not turn on when the vehicle is powered.,u3. NO POWER TO ENHANCED POSITION LOCATION REPORTING SYSTEM (EPLRS).,"If the EPLRS device does not power on, this aligns with the fault code indicating 'no power' to the system, possibly due to a tripped circuit breaker or an electrical issue.",no power to enhanced position location reporting system (eplrs).
259,Mobile Tracking System does not turn on when master power switch is set to ON,u2. NO POWER TO MOBILE TRACKING SYSTEM (MTS) SENSE.,"If the Mobile Tracking System does not power up when the vehicle's master power switch is activated, it indicates a lack of electrical power to the MTS, possibly due to a tripped circuit breaker or an issue in the electrical distribution block.",no power to mobile tracking system (mts) sense.
260,parking lights do not turn on when light switch is set to PARK,e40. PARKING LIGHTS DO NOT ILLUMINATE.,"If the operator sets the main light switch to the PARK position and the parking lights fail to illuminate, this matches the symptom described for this fault code. This could be due to an electrical issue, faulty bulbs, or a tripped circuit breaker.",parking lights do not illuminate.
261,Central Tire Inflation System does not respond when trying to adjust tire pressure,e79. CENTRAL TIRE INFLATION SYSTEM (CTIS) DOES NOT OPERATE.,"If the CTIS does not operate or respond when the operator tries to change tire pressure settings, it may indicate an electrical issue, such as a tripped circuit breaker, or a fault within the CTIS itself.",central tire inflation system (ctis) does not operate.
262,transmission gear indicator shows dashes and vehicle does not change gears when shifting,"f3. WTEC III TRANSMISSION PUSHBUTTON SHIFT SELECTOR (TPSS) DISPLAYS ""--"" AND/OR TRANSMISSION DOES NOT SHIFT GEARS.","The display of dashes (""--"") on the shift selector along with the transmission failing to shift are clear operational cues aligning with the fault code, indicating potential electronic or communication issues within the transmission control system.","wtec iii transmission pushbutton shift selector (tpss) displays ""--"" and/or transmission does not shift gears."
263,rear brake air gauge light does not turn on when vehicle lights are on,e17. REAR BRAKE AIR GAGE DOES NOT ILLUMINATE.,"The operator would notice that the rear brake air gauge fails to light up when the panel lights are activated, indicating a potential issue with the gauge's bulb, power supply, or related switch settings.",rear brake air gage does not illuminate.
264,"When I press the brake pedal, the truck pulls strongly to the left.","i5. VEHICLE BRAKES UNEVENLY, BRAKES PULL TO ONE SIDE, OR GRAB.","The observation describes the vehicle pulling to one side during braking, which matches the symptoms in the fault code and would prompt the operator to report this issue for further inspection.","vehicle brakes unevenly, brakes pull to one side, or grab."
265,The DVE does not turn on when the power switch is activated.,u5. NO POWER TO DRIVER VISUAL ENHANCEMENT (DVE),"If the DVE does not power up when the operator tries to use it, this matches the symptom described for the fault code and aligns with the troubleshooting step to check if the DVE has power.",no power to driver visual enhancement (dve)
266,left front turn signal does not light up when using the turn signal lever,e55. LEFT OR RIGHT FRONT TURN SIGNAL DOES NOT ILLUMINATE.,"If the left or right front turn signal fails to illuminate, this matches the operator's experience of the indicator not lighting up when prompted, pointing to a possible electrical or bulb issue as indicated by the troubleshooting steps.",left or right front turn signal does not illuminate.
267,hydraulic systems are slow to respond or fail to operate,l1. LOSS OF HYDRAULIC PRESSURE (SINGLE STAGE PUMP).,"Slow or non-responsive hydraulic systems indicate insufficient hydraulic pressure, which aligns with a loss of pressure from the single-stage pump. An operator would likely notice this while attempting to use hydraulically powered components.",loss of hydraulic pressure (single stage pump).
268,the troop transport alarm does not sound when activated,u17. TROOP TRANSPORT ALARM DOES NOT OPERATE.,"If the alarm does not make any noise or activate when an operator attempts to use it, this directly matches the fault code describing non-operation of the troop transport alarm.",troop transport alarm does not operate.
269,loud clanking or grinding sound from under the truck while driving,f2. TRANSMISSION UNUSUALLY NOISY WHEN OPERATING.,"A loud clanking or grinding sound from underneath the truck during operation may indicate an internal issue with the transmission, such as worn or damaged gears, or issues related to the transmission fluid level or contamination.",transmission unusually noisy when operating.
270,front hazard lights do not turn on when hazard switch is activated,e51a. FRONT HAZARD LIGHTS DO NOT ILLUMINATE.,"If the front hazard lights fail to turn on when the hazard switch is used, this directly matches the fault code and would prompt the operator to report the issue. The troubleshooting steps suggest checking if the issue is isolated to the front lights or includes the rear, indicating this observation is specific and plausible.",front hazard lights do not illuminate.
271,rear blackout marker lights do not turn on when light switch is set to blackout mode,e48. ONE OR BOTH REAR BLACKOUT MARKER LIGHTS DO NOT ILLUMINATE.,"If the rear blackout marker lights do not illuminate when the appropriate lighting mode is selected, it matches the fault described. The troubleshooting procedure specifically addresses a scenario where these lights fail to work.",one or both rear blackout marker lights do not illuminate.
272,engine fan keeps running even after turning off radiator fan switch,e89. ENGINE FAN DOES NOT TURN OFF USING RADIATOR FAN OFF SWITCH.,"If the operator notices that the engine fan remains on regardless of the radiator fan switch position, this directly matches the fault that the fan is not responding to the control switch as intended.",engine fan does not turn off using radiator fan off switch.
273,air conditioner does not turn on when switch is set to ON,e112. M1079 AIR CONDITIONER DOES NOT OPERATE.,"If the air conditioner does not operate when the operator attempts to turn it on, it could be due to a tripped circuit breaker or a loss of electrical power, which matches the first steps in the troubleshooting procedure.",m1079 air conditioner does not operate.
274,windshield wipers do not turn on at any speed setting,e73. ALL WINDSHIELD WIPER SPEEDS DO NOT OPERATE.,"If the windshield wipers fail to operate at all speed settings, it indicates a total loss of wiper function, which matches the fault code and could be caused by a tripped circuit breaker or electrical issue as detailed in the troubleshooting procedures.",all windshield wiper speeds do not operate.
275,110 VAC outlet J230 does not provide power when equipment is plugged in,e108. M1079 110 VAC OUTLET J230 DOES NOT OPERATE.,"If the operator plugs equipment into the J230 outlet and it does not turn on or receive power, this indicates the outlet is not operating as intended, which directly aligns with the fault code description.",m1079 110 vac outlet j230 does not operate.
276,truck feels very stiff when driving over bumps and does not settle back to normal height,t2. SUSPENSION DOES NOT COMPRESS OR RETURN TO NORMAL PROPERLY.,"If the suspension does not compress or return to its normal position, the operator may notice excessive stiffness or the truck staying raised or lowered after driving over uneven surfaces. This matches the troubleshooting focus on suspension movement and potential air or hydraulic issues.",suspension does not compress or return to normal properly.
277,One or both of the truck's headlights do not turn on in either high or low beam mode,e37. ONE OR BOTH HEADLIGHTS (HIGH AND LOW BEAMS) DO NOT ILLUMINATE.,"If the operator notices that one or both headlights fail to illuminate when switched on, regardless of high or low beam selection, this matches the description in the fault code and could be due to electrical or breaker issues.",one or both headlights (high and low beams) do not illuminate.
278,tachometer backlight does not turn on when dashboard lights are switched on,e19. TACHOMETER DOES NOT ILLUMINATE.,"If the tachometer does not illuminate when the dashboard lights are activated, it matches the symptom described in the fault code and could be due to a bulb, fuse, or wiring issue.",tachometer does not illuminate.
279,tires show uneven wear and truck pulls to one side when driving,w1. TIRES CONTINUE TO WEAR AFTER FRONT END ALIGNMENT AND/OR VEHICLE DRIVES SIDEWAYS DOWN ROAD.,Noticing continued uneven tire wear and the vehicle pulling sideways after a recent front end alignment can indicate that the alignment issue persists or that there is another problem causing abnormal tracking.,tires continue to wear after front end alignment and/or vehicle drives sideways down road.
280,truck takes longer than normal to stop when pressing the brake pedal,i1. EXCESSIVE BRAKING DISTANCE.,"If the truck requires a longer distance to come to a complete stop when the brakes are applied, it matches the definition of excessive braking distance explained in the troubleshooting procedures and could be caused by insufficient air pressure or brake system issues.",excessive braking distance.
281,none of the marker lights turn on when the light switch is set to normal mode,e44a. ALL MARKER LIGHTS DO NOT OPERATE IN NORMAL MODE.,"If an operator notices that all marker lights fail to illuminate when using the truck's normal lighting mode, this would directly indicate the fault code concerning marker light operation. This matches a complete lack of function as described in the troubleshooting steps.",all marker lights do not operate in normal mode.
282,Parking brake stays engaged even after releasing the brake control,i3. PARKING BRAKE(S) WILL NOT RELEASE.,"If an operator attempts to release the parking brake and the vehicle remains immobile due to the brake staying engaged, this matches the symptom described in the fault code and could result from low air pressure, damaged gladhands, or related air brake issues.",parking brake(s) will not release.
283,front brake air warning light does not turn on when air pressure is low,e33. FRONT BRAKE AIR INDICATOR DOES NOT ILLUMINATE WHEN AIR PRESSURE IS BELOW 65 PSI.,"This observation directly matches the fault code, indicating that the operator noticed the warning indicator did not illuminate even though air pressure dropped below the safe threshold, potentially compromising safe operation.",front brake air indicator does not illuminate when air pressure is below 65 psi.
284,excessive shaking or vibrations felt in the cab while engine is running,a6. TOO MUCH VIBRATION IN ENGINE.,"Unusually strong or persistent vibrations felt during engine operation could be due to a restricted air filter, issues with the vibration damper, or loose/missing damper bolts as outlined in the troubleshooting procedures.",too much vibration in engine.
285,front hazard lights do not flash when hazard switch is turned on,e51a. FRONT HAZARD LIGHTS DO NOT ILLUMINATE.,"If the front hazard lights fail to flash when the hazard switch is activated, this matches the description in the fault code and could indicate a problem isolated to the front lights or related electrical circuit.",front hazard lights do not illuminate.
286,"none of the truck's electrical systems are working, such as lights, horn, or dashboard indicators",e3. 24 VDC CIRCUITS DO NOT OPERATE.,"A lack of operation from all 24 VDC electrical circuits likely means the entire system is non-functional, which fits with the fault code description and would be noticeable to the operator when the systems fail to power on.",24 vdc circuits do not operate.
287,engine does not start in cold weather conditions,e90. ETHER START DOES NOT OPERATE.,"If the ether start system is not functioning, the operator may notice that the engine fails to start, especially during cold weather when ether start aid is most necessary.",ether start does not operate.
288,none of the van body marker lights turn on when lights are switched on,e97. ALL M1079 VAN BODY MARKER LIGHTS DO NOT ILLUMINATE.,"If all van body marker lights fail to illuminate when the vehicle's lights are activated, it suggests a possible electrical fault such as a blown fuse, wiring problem, or switch issue affecting the entire marker light circuit.",all m1079 van body marker lights do not illuminate.
